feature,prominence
 no,0.005760340580827075
 at,0.005756597128489183
yo,0.005750201200962602
ba,0.005734599301673532
ap,0.005731898125702873
nn wrb,0.0057069489860417395
do,0.0057020002517699005
pdt,0.005696348162356153
pdt dt,0.005696348162356153
vbz nn,0.005691593757242448
to prp,0.005685341690702553
f t,0.005669750305393705
oun,0.005666941020093139
tra,0.0056640043932023945
rm,0.005648749038875333
ran,0.005645399857944505
ty,0.005638056811140764
cu,0.005623268390306192
ex,0.005621891497974808
dt vbg,0.0055962400675127755
vbg rp,0.005589588843202649
vbp prp,0.005578173413822771
s s,0.0055735876794418045
t w,0.005563046574239893
 sh,0.005544063287655549
d i,0.0055438685515131324
1,0.005537539773674939
tt,0.005537280430861422
art,0.005535149211571369
up,0.00553327615349491
e m,0.005517081790651853
ld ,0.005504454808101675
bo,0.005503889739303934
ut ,0.005501602643554079
 ar,0.00547891756649261
 di,0.00545524694876845
cl,0.005452372915512287
ab,0.0054293153212770316
esi,0.005426879329341584
eg,0.0054245653055963305
aid,0.0054184494934642925
 yo,0.005418209512109617
to nn,0.005379648199418568
ue,0.005368484741453555
k ,0.00536733524000362
to nns,0.0053644720332859
rbs,0.0053462067313671075
 ac,0.00534287329595842
av,0.005331963942840165
to jj,0.0053130029885126665
age,0.005310087586898659
ry ,0.005300480930060098
cr,0.0052999168679641155
ect,0.005298004865544058
 al,0.005294219557930667
 j,0.005292091276341461
nn vbp,0.005278819480252039
por,0.005272324051103847
prp dt,0.00526463457913175
wp vbz,0.005263420862574807
ive,0.005255977123301726
int,0.005234375819836697
oc,0.00522699641976834
und,0.005226886963372121
e h,0.005223511318668103
 pa,0.005219249625159359
nte,0.00521751852277992
ck,0.005211978534228034
com,0.005210143664631934
sai,0.00520614231989376
e d,0.005204647531048406
ur ,0.005202785351043195
din,0.005202012901511575
bl,0.00520069607880585
id ,0.005200211237731439
nn cd,0.005200171586522171
um,0.005197003058474128
dt in,0.005184424872409478
if,0.005175627711237652
 su,0.005174938490771321
nn,0.00517402659305566
vbn cc,0.00515127666955978
ws,0.005146236697491831
you,0.00514161578845211
tat,0.005134346765160799
cou,0.005128904357737748
 me,0.0051242101882838
cti,0.0051235195929529975
cc cd,0.00511112429848413
it ,0.005100448323549453
tes,0.00508772326635036
rea,0.005077095038533193
go,0.0050709491540718715
", t",0.00507053920947414
s w,0.005066257473872245
wdt vbp,0.005063071760074233
are,0.005061825564643955
oo,0.005059502932569193
nnps dt,0.005046349030981918
e r,0.005044980245517878
ial,0.0050292939937437295
out,0.005025571890678795
rep,0.005022193745168888
 wo,0.005018736956558131
par,0.005009803345622928
 fi,0.004993046200593049
e.,0.0049896596952637914
me ,0.004987907991151641
rb prp,0.004973248874330595
jjr nn,0.004968631466872833
 un,0.0049528827663950096
sti,0.004949333581063285
"nt,",0.004948671962553615
y t,0.004918091218949413
rc,0.004912780255273209
vbn prp,0.004912237023046739
ls,0.0049110449020638176
 ag,0.004909136159630141
om ,0.0048992166284303395
n i,0.004898728921340222
fa,0.004898009924351009
tic,0.004897986911603471
s f,0.004874960119305235
 le,0.00487275474591072
e u,0.004857463108513016
cd vbg,0.004856002114357786
gi,0.004837343748533866
 2,0.004826487967188514
d o,0.004823442990729388
nat,0.004818478362558761
cal,0.0048153909118483764
d s,0.004802851293362334
vb vbg,0.0048012186965968075
cc vbz,0.004757829780641997
rbs jj,0.004752735957855721
ote,0.004749076982423329
ews,0.004737508907980965
z,0.004734859938761704
dt vbz,0.004729786258378635
nal,0.004729136009847398
 ad,0.004728298950867536
lin,0.0047222660116194295
c ,0.004716018754415093
pp,0.004713189385642423
cd to,0.004695670913492691
rom,0.004686180436309142
rb vbp,0.00468241235885468
 ch,0.004681840673919294
d e,0.004671564551652515
ne ,0.00466850467007682
tor,0.004660835536148944
 te,0.004659909999401907
end,0.004647934392201355
off,0.004647106800751642
nti,0.004647009034328202
eme,0.004645768152153573
igh,0.004641065624461919
eve,0.004640485598284669
ch ,0.004639240003494423
o t,0.00463132723112903
af,0.004628775978509449
bi,0.004608667938542382
 si,0.004607246690827688
ica,0.004607239040580798
y a,0.004606210278289611
 pe,0.004605087155677478
. e,0.004596626635144157
fro,0.004591163411242408
ei,0.004583851044689098
tru,0.0045764911641623385
nns vbz,0.00456928372605411
s c,0.004563921507213063
bu,0.004563870893458414
per,0.0045546778479126325
fic,0.004552826034282926
", w",0.004551190670470702
 fe,0.004550704000221204
e b,0.004534131504532155
 da,0.004531994980435994
ty ,0.004521276283330692
ral,0.004517166550607308
ore,0.0045073250164272
t h,0.004505057973614475
 so,0.004501073591682717
ste,0.004499788967696744
d b,0.004492765342845938
i ,0.004487614045697377
red,0.004485898683402663
"e,",0.004481917247917387
"e, ",0.004481917247917387
ave,0.00447543619321298
e n,0.004470301797189179
ft,0.004465532108238287
ain,0.004464658502705098
pri,0.004463452155830983
n o,0.004459156021041272
use,0.004458029635548422
mm,0.004452150618861315
du,0.0044484584307688925
rr,0.004445648867516668
vbn vbg,0.004436212229141064
 ou,0.004417198776041482
ces,0.004413744562036967
vb cc,0.004410117670430268
ele,0.004408359844991345
jjr nns,0.004407729145581614
vo,0.004406139707638882
rg,0.004405723757935676
vbp nn,0.00440201481027954
